timestamp,open,high,low,close,volume
2023-08-07 06:30:00,29091.52,29097.23,29050.77,29052.0,402.66822
2023-08-07 07:00:00,29052.0,29110.57,29051.99,29084.01,388.71644
2023-08-07 07:30:00,29084.0,29094.1,29064.3,29094.09,367.45348
2023-08-07 08:00:00,29094.09,29094.1,29068.6,29068.61,408.36744
2023-08-07 08:30:00,29068.6,29076.0,29056.0,29063.01,292.40413
2023-08-07 09:00:00,29063.0,29080.0,29045.14,29078.01,395.75355
2023-08-07 09:30:00,29078.01,29095.88,29078.0,29092.01,558.38476
2023-08-07 10:00:00,29092.0,29092.01,29085.2,29087.47,233.02711
2023-08-07 10:30:00,29087.47,29153.86,29087.47,29143.23,508.89837
2023-08-07 11:00:00,29143.23,29143.23,29098.95,29098.96,222.6241
2023-08-07 11:30:00,29098.95,29098.96,29088.18,29091.44,251.49679
2023-08-07 12:00:00,29091.44,29094.6,29034.78,29038.74,681.51049
2023-08-07 12:30:00,29038.74,29150.0,29036.85,29079.25,753.96691
2023-08-07 13:00:00,29079.25,29089.9,29043.39,29067.99,569.0713
2023-08-07 13:30:00,29067.99,29088.0,29030.0,29030.51,698.81022
2023-08-07 14:00:00,29030.5,29074.56,28991.0,29000.0,887.13095
2023-08-07 14:30:00,28999.99,29071.97,28964.65,29023.99,827.82097
2023-08-07 15:00:00,29024.0,29027.07,28913.22,28932.0,1198.23264
2023-08-07 15:30:00,28931.99,28942.62,28788.73,28858.44,2426.36554
2023-08-07 16:00:00,28858.45,28945.81,28701.03,28924.01,2645.2262
2023-08-07 16:30:00,28924.01,28976.04,28854.2,28938.0,1100.05566
2023-08-07 17:00:00,28937.99,28989.99,28886.0,28905.81,1082.49271
2023-08-07 17:30:00,28905.81,28981.6,28868.0,28981.32,813.3024
2023-08-07 18:00:00,28981.31,29182.0,28973.03,29145.41,1767.05527
2023-08-07 18:30:00,29145.42,29186.74,29076.4,29094.43,1318.25654
2023-08-07 19:00:00,29094.42,29116.51,29050.78,29057.0,887.17284
2023-08-07 19:30:00,29057.0,29154.92,29054.0,29154.91,603.44054
2023-08-07 20:00:00,29154.91,29174.75,29121.12,29146.01,565.95015
2023-08-07 20:30:00,29146.01,29199.0,29142.0,29198.99,313.12738
2023-08-07 21:00:00,29199.0,29276.78,29135.82,29276.78,916.62725
2023-08-07 21:30:00,29276.78,29276.78,29172.82,29196.42,284.39558
2023-08-07 22:00:00,29196.42,29205.0,29165.9,29169.8,409.60346
2023-08-07 22:30:00,29169.8,29200.63,29169.79,29181.18,260.73978
